en_text,vi_text,type
"The project delay of 90 days resulted in a penalty of $120,500.25, surpassing the budgeted cost by 3.5%.","Việc dự án chậm trễ 90 ngày đã dẫn đến khoản phạt 120.500,25 đô la, vượt quá chi phí đã lập ngân sách 3,5%.",hallu_numbers
Factory output decreased by 22% in the last week of July 2024 due to maintenance scheduled for 8 hours daily.,Sản lượng nhà máy giảm 22% trong tuần cuối cùng của tháng 7 năm 2024 do bảo trì được lên lịch 8 giờ mỗi ngày.,hallu_numbers
"The cost of goods sold (COGS) reached $2.1 billion in Q1, a 1.2% rise compared to the previous quarter's filing at 3:00 PM.","Giá vốn hàng bán (COGS) đạt 2,1 tỷ đô la trong Quý 1, tăng 1,2% so với báo cáo quý trước được nộp lúc 3:00 CHIỀU.",hallu_numbers
"The new hybrid vehicle achieves 60.5 miles per gallon, saving the owner $1,200.50 annually based on average driving patterns.","Phương tiện lai mới đạt 60,5 dặm trên mỗi gallon, giúp chủ sở hữu tiết kiệm 1.200,50 đô la hàng năm dựa trên mức lái xe trung bình.",hallu_numbers
"By 6:00 PM on the deadline day, 95.8% of participants had submitted their forms, with an average length of 1,250 words.","Đến 6:00 CHIỀU ngày hạn chót, 95,8% người tham gia đã nộp mẫu đơn của họ, với độ dài trung bình là 1.250 từ.",hallu_numbers
The company allocated 0.75% of its $500 million budget to R&D activities commencing January 15.,"Công ty đã phân bổ 0,75% ngân sách 500 triệu đô la của mình cho các hoạt động R&D bắt đầu từ ngày 15 tháng 1.",hallu_numbers
"During the peak hour of 8:00 AM, traffic density reached 1,800 vehicles per kilometer, causing a 45.3% delay in transit times.","Trong giờ cao điểm 8:00 SÁNG, mật độ giao thông đạt 1.800 phương tiện trên mỗi km, gây ra sự chậm trễ 45,3% trong thời gian vận chuyển.",hallu_numbers
"The agricultural yield increased by 20.9% in 2022, resulting in a total harvest volume of 1,150.7 metric tons.","Năng suất nông nghiệp tăng 20,9% vào năm 2022, dẫn đến tổng khối lượng thu hoạch là 1.150,7 tấn (metric tons).",hallu_numbers
"We forecast that by 5:00 PM on Friday, share prices will hit $150.25, representing an increase of 0.95% over the week.","Chúng tôi dự báo rằng đến 5:00 CHIỀU thứ Sáu, giá cổ phiếu sẽ đạt 150,25 đô la, đại diện cho mức tăng 0,95% trong tuần.",hallu_numbers
"The security breach in 2017 affected 2.5 million user accounts, costing the firm $12.8 million and requiring 72 hours to resolve.","Vi phạm bảo mật năm 2017 đã ảnh hưởng đến 2,5 triệu tài khoản người dùng, tiêu tốn của công ty 12,8 triệu đô la và cần 72 giờ để giải quyết.",hallu_numbers
"The stock price dropped 0.08% at 10:30 AM after opening at $1,540.75.","Giá cổ phiếu giảm 0,08% lúc 10:30 sáng sau khi mở cửa ở mức 1.540,75 đô la.",hallu_numbers
"Server downtime on June 1, 2024, was limited to 15.3 seconds, achieving an overall uptime of 99.998%.","Thời gian ngừng hoạt động của máy chủ vào ngày 1 tháng 6 năm 2024, chỉ giới hạn trong 15,3 giây, đạt tổng thời gian hoạt động là 99,998%.",hallu_numbers
"Fuel consumption for the 850 km trip averaged 7.2 liters per 100 km, saving the company $12.45 compared to last quarter.","Mức tiêu thụ nhiên liệu cho chuyến đi 850 km trung bình là 7,2 lít trên 100 km, giúp công ty tiết kiệm 12,45 đô la so với quý trước.",hallu_numbers
"The Q3 2023 sales forecast exceeded expectations by 15.5%, translating to an additional $2.8 million in revenue.","Dự báo doanh số Quý 3 năm 2023 đã vượt mức kỳ vọng 15,5%, tương đương với 2,8 triệu đô la doanh thu bổ sung.",hallu_numbers
"The construction deadline was extended from May 1, 2025, to July 15, 2025, due to cost overruns totaling $1.25 million.","Hạn chót xây dựng đã được gia hạn từ ngày 1 tháng 5 năm 2025 đến ngày 15 tháng 7 năm 2025, do chi phí vượt mức tổng cộng 1,25 triệu đô la.",hallu_numbers
"Crude oil production peaked at 73.12 million barrels per day in Q4 2023, while the spot price stabilized at $85.95 per barrel.","Sản lượng dầu thô đạt đỉnh 73,12 triệu thùng mỗi ngày trong Quý 4 năm 2023, trong khi giá giao ngay ổn định ở mức 85,95 đô la mỗi thùng.",hallu_numbers
"The system processed 4.6 billion transactions between 9:00 AM and 5:00 PM, maintaining a processing error rate below 0.001%.","Hệ thống đã xử lý 4,6 tỷ giao dịch từ 9:00 sáng đến 5:00 chiều, duy trì tỷ lệ lỗi xử lý dưới 0,001%.",hallu_numbers
"We shipped 1,250.35 kg of fragile goods 5,500 km on January 15, 2024, with insurance coverage of $50,000.","Chúng tôi đã vận chuyển 1.250,35 kg hàng dễ vỡ đi 5.500 km vào ngày 15 tháng 1 năm 2024, với mức bảo hiểm là 50.000 đô la.",hallu_numbers
"The company’s R&D budget for 2024 was set at $500,000, representing 4.5% of the projected revenue.","Ngân sách R&D của công ty cho năm 2024 được đặt ở mức 500.000 đô la, chiếm 4,5% doanh thu dự kiến.",hallu_numbers
"Inventory shrinkage averaged 1.7% in 2023, costing the warehouse $1,200.50 more than the 2022 loss.","Mức thất thoát hàng tồn kho trung bình là 1,7% trong năm 2023, khiến nhà kho thiệt hại thêm 1.200,50 đô la so với mức lỗ của năm 2022.",hallu_numbers
"Revenue for the fiscal year 2023 reached $3.5 billion, marking a 12.75% increase over the previous year, 2022.","Doanh thu năm tài chính 2023 đạt 3,5 tỷ đô la, đánh dấu mức tăng 12,75% so với năm trước, 2022.",hallu_numbers
The new equipment weighs 88.75 kg and reduces processing time by 20.5% starting from the 3:00 PM shift.,"Thiết bị mới nặng 88,75 kg và giảm thời gian xử lý 20,5% kể từ ca làm việc lúc 3:00 chiều.",hallu_numbers
"The warranty adjustment, effective December 31, 2024, increased liability by $95,000, or 6.8% of total assets.","Việc điều chỉnh bảo hành, có hiệu lực từ ngày 31 tháng 12 năm 2024, đã tăng khoản nợ phải trả thêm 95.000 đô la, tương đương 6,8% tổng tài sản.",hallu_numbers
"We forecast a commodity price correction of 0.05% by 11:45 AM, resulting in potential savings of $250,000.","Chúng tôi dự báo một đợt điều chỉnh giá hàng hóa 0,05% trước 11:45 sáng, dẫn đến khả năng tiết kiệm 250.000 đô la.",hallu_numbers
"Production latency averaged 55.4 milliseconds during the 2:00 PM shift, achieving a 99.99% success rate.","Độ trễ sản xuất trung bình là 55,4 mili giây trong ca làm việc lúc 2:00 chiều, đạt tỷ lệ thành công 99,99%.",hallu_numbers
"The final product shipment weighed 3,125.6 metric tons and was loaded onto the vessel at 6:00 AM on Friday.","Lô hàng sản phẩm cuối cùng nặng 3.125,6 tấn và được chất lên tàu lúc 6:00 sáng thứ Sáu.",hallu_numbers
"By the end of the late 1990s, the national debt had reached $5.6 trillion, requiring an interest payment increase of 0.75%.","Đến cuối những năm 1990, nợ quốc gia đã đạt 5,6 nghìn tỷ đô la, yêu cầu tăng lãi suất 0,75%.",hallu_numbers
"Our marketing conversion rate improved from 2.1% to 2.8% within the first half of 2024, adding $45,999.00 in new sales.","Tỷ lệ chuyển đổi tiếp thị của chúng tôi đã cải thiện từ 2,1% lên 2,8% trong nửa đầu năm 2024, bổ sung 45.999,00 đô la doanh số mới.",hallu_numbers
"The delivery robot can travel 15.5 km/h while carrying a maximum payload of 10.75 kg, operating until midnight.","Robot giao hàng có thể di chuyển 15,5 km/h trong khi mang tải trọng tối đa 10,75 kg, hoạt động cho đến nửa đêm.",hallu_numbers
"The average price index surged 3.2% between the late 1990s and 2005, requiring a salary adjustment of $500.25 per month.","Chỉ số giá trung bình tăng 3,2% từ cuối những năm 1990 đến năm 2005, yêu cầu điều chỉnh lương 500,25 đô la mỗi tháng.",hallu_numbers
"Q3 profits increased by 15.3% to $1.5 billion, measured against the closing figures on September 30, 2023.","Lợi nhuận Quý 3 đã tăng 15,3% lên 1,5 tỷ đô la, được đo lường so với số liệu chốt sổ vào ngày 30 tháng 9 năm 2023.",hallu_numbers
"The consolidated shipment weighing 1,200.50 kg departed from the warehouse at precisely 08:30 AM on January 15, 2024.","Lô hàng hợp nhất nặng 1.200,50 kg đã rời khỏi kho hàng chính xác vào lúc 08:30 sáng ngày 15 tháng 1 năm 2024.",hallu_numbers
"Market share stabilized at 42.8% throughout the late 1990s, generating an estimated $750 million annually.","Thị phần ổn định ở mức 42,8% trong suốt cuối những năm 1990, tạo ra ước tính 750 triệu đô la hàng năm.",hallu_numbers
"The detected audit variance was only 0.05%, equating to $1,250.75 in discrepancies found at 11:00 AM.","Sai lệch kiểm toán được phát hiện chỉ là 0,05%, tương đương với 1.250,75 đô la trong các chênh lệch được tìm thấy vào lúc 11:00 sáng.",hallu_numbers
"The 3,500 km cross-country logistics run cost $450.99 for fuel and was fully documented on July 1, 2025.","Chuyến vận chuyển logistics xuyên quốc gia dài 3.500 km tiêu tốn 450,99 đô la tiền nhiên liệu và đã được lập hồ sơ đầy đủ vào ngày 1 tháng 7 năm 2025.",hallu_numbers
"We recorded a 7.5% inventory shrinkage, valued at $20,300, occurring across the 5,800 square meters of storage space.","Chúng tôi đã ghi nhận mức hao hụt hàng tồn kho là 7,5%, trị giá 20.300 đô la, xảy ra trên 5.800 mét vuông không gian lưu trữ.",hallu_numbers
"System downtime resulted in 99.99% uptime compliance, totaling 4 minutes of failure detected at 02:45 AM on May 10.","Thời gian ngừng hoạt động của hệ thống đạt mức tuân thủ 99,99% thời gian hoạt động, tổng cộng 4 phút lỗi được phát hiện vào 02:45 sáng ngày 10 tháng 5.",hallu_numbers
"The 55.5 km oil pipeline infrastructure project, budgeted for $3.5 billion, is scheduled for final assessment by December 2030.","Dự án cơ sở hạ tầng đường ống dẫn dầu dài 55,5 km, được lập ngân sách 3,5 tỷ đô la, dự kiến sẽ được đánh giá cuối cùng vào tháng 12 năm 2030.",hallu_numbers
"The dollar weakened by 0.15% against the Euro, dropping the exchange rate to $1.08 per Euro recorded on October 26, 2023.","Đô la đã yếu đi 0,15% so với đồng Euro, làm giảm tỷ giá hối đoái xuống còn 1,08 đô la đổi 1 Euro được ghi nhận vào ngày 26 tháng 10 năm 2023.",hallu_numbers
"Production output increased by 10.1% to 8,750 kg during the 14-hour shift ending at 6:00 PM.","Sản lượng sản xuất tăng 10,1% lên 8.750 kg trong ca làm việc kéo dài 14 giờ kết thúc vào lúc 6:00 chiều.",hallu_numbers
"Gold prices peaked at $1,950.25 per ounce in August 2020, representing a 35% year-over-year increase.","Giá vàng đạt đỉnh 1.950,25 đô la mỗi ounce vào tháng 8 năm 2020, đại diện cho mức tăng 35% so với cùng kỳ năm trước.",hallu_numbers
"The mortgage rate was fixed at 6.125% for the $550,000 loan, effective from the signing date of November 15, 2023.","Lãi suất thế chấp được cố định ở mức 6,125% cho khoản vay 550.000 đô la, có hiệu lực từ ngày ký hợp đồng là 15 tháng 11 năm 2023.",hallu_numbers
"The courier covered a distance of 128.7 km in 3 hours, completing the highly prioritized route by 04:00 PM on Tuesday.","Người giao hàng đã đi quãng đường 128,7 km trong 3 giờ, hoàn thành lộ trình ưu tiên cao vào lúc 04:00 chiều Thứ Ba.",hallu_numbers
"Annual energy costs stabilized at $12,500 monthly, despite a 2.1% consumption rise recorded during peak usage at 9:30 AM.","Chi phí năng lượng hàng năm ổn định ở mức 12.500 đô la mỗi tháng, mặc dù mức tiêu thụ tăng 2,1% được ghi nhận trong thời gian sử dụng cao điểm lúc 9:30 sáng.",hallu_numbers
"The aircraft exceeded its maximum payload limit by 0.5%, carrying an audited total of 1,750 kg, confirmed on 28/02/2024.","Máy bay đã vượt quá giới hạn trọng tải tối đa 0,5%, chở tổng cộng 1.750 kg đã được kiểm toán, xác nhận vào ngày 28/02/2024.",hallu_numbers
"A total of 95.5% of customer refunds, averaging $45.60 per transaction, were processed successfully within 72 hours.","Tổng cộng 95,5% tiền hoàn lại cho khách hàng, trung bình 45,60 đô la mỗi giao dịch, đã được xử lý thành công trong vòng 72 giờ.",hallu_numbers
"The portfolio yielded 11.7% returns in the first half of 2023, increasing its total valuation by $1.8 million.","Danh mục đầu tư mang lại lợi nhuận 11,7% trong nửa đầu năm 2023, làm tăng tổng giá trị của nó thêm 1,8 triệu đô la.",hallu_numbers
The patient weighing 85.4 kg was administered a dosage that was 25% larger than the standard protocol at 10:15 PM.,"Bệnh nhân nặng 85,4 kg đã được dùng liều lượng lớn hơn 25% so với phác đồ tiêu chuẩn vào lúc 10:15 tối.",hallu_numbers
"Financial errors detected during the audit of the early 2000s totaled $98,100, representing 0.75% of the total operating budget.","Các lỗi tài chính được phát hiện trong quá trình kiểm toán đầu những năm 2000 lên tới 98.100 đô la, chiếm 0,75% tổng ngân sách hoạt động.",hallu_numbers
"The high-orbit satellite traveled 1,250,000 km in 24 hours, maintaining an orbital height of 35,786 km above Earth.","Vệ tinh quỹ đạo cao đã di chuyển 1.250.000 km trong 24 giờ, duy trì độ cao quỹ đạo 35.786 km so với Trái đất.",hallu_numbers
"By the close of business on June 15, 2023, total assets stood at $4.5 billion, marking a 7.8% increase from the prior fiscal year.","Tính đến cuối ngày làm việc 15 tháng 6 năm 2023, tổng tài sản ở mức 4,5 tỷ đô la, đánh dấu mức tăng 7,8% so với năm tài chính trước.",hallu_numbers
"The production line achieved a 99.85% efficiency rate at 10:30 AM, processing 1,200.50 kg of specialized components.","Dây chuyền sản xuất đạt tỷ lệ hiệu suất 99,85% lúc 10:30 sáng, xử lý 1.200,50 kg linh kiện chuyên dụng.",hallu_numbers
"Over the period spanning October 2022 to March 2023, operational spending exceeded $1,850,700.99, necessitating a 0.25% budget cut.","Trong khoảng thời gian từ tháng 10 năm 2022 đến tháng 3 năm 2023, chi tiêu vận hành đã vượt 1.850.700,99 đô la, khiến cần phải cắt giảm ngân sách 0,25%.",hallu_numbers
"The late 1990s saw average transaction times peak at 15.4 seconds, reducing the system's throughput by 1.5 megabytes per hour.","Cuối những năm 1990 chứng kiến thời gian giao dịch trung bình đạt đỉnh 15,4 giây, làm giảm thông lượng của hệ thống 1,5 megabyte mỗi giờ.",hallu_numbers
"Shipping costs for the 8,000.75 kg payload reached $55,300.20 for delivery scheduled on November 1, 2024.","Chi phí vận chuyển cho lô hàng 8.000,75 kg đã lên đến 55.300,20 đô la cho việc giao hàng được lên lịch vào ngày 1 tháng 11 năm 2024.",hallu_numbers
"The portfolio yielded 3.5 billion dollars in 2022, despite the market suffering a concurrent 12.0% decline.","Danh mục đầu tư đã mang lại 3,5 tỷ đô la vào năm 2022, mặc dù thị trường cùng lúc phải chịu mức sụt giảm 12,0%.",hallu_numbers
"System latency dropped from 250 milliseconds to 15.0 milliseconds at 04:00 AM, leading to a 30% reduction in error rates.","Độ trễ hệ thống giảm từ 250 mili giây xuống 15,0 mili giây lúc 04:00 sáng, dẫn đến giảm 30% tỷ lệ lỗi.",hallu_numbers
"Our primary production facility covers 150,000 square meters and processed 2,550.6 kg of titanium between 08:00 AM and 17:00 PM yesterday.","Cơ sở sản xuất chính của chúng tôi có diện tích 150.000 mét vuông và đã xử lý 2.550,6 kg titan trong khoảng thời gian từ 08:00 sáng đến 17:00 giờ chiều ngày hôm qua.",hallu_numbers
"The stock price closed at $195.45 on December 31, 2023, after gaining a modest 0.05% during the final trading session.","Giá cổ phiếu đóng cửa ở mức 195,45 đô la vào ngày 31 tháng 12 năm 2023, sau khi tăng khiêm tốn 0,05% trong phiên giao dịch cuối cùng.",hallu_numbers
"Capital expenditure for Q1 2024 reached $7.2 million, resulting in a 45.9% utilization rate of the earmarked funds.","Chi tiêu vốn cho Quý 1 năm 2024 đạt 7,2 triệu đô la, dẫn đến tỷ lệ sử dụng 45,9% số tiền đã được phân bổ.",hallu_numbers
"The research team drove 980.5 km in total during the week ending August 4, 2023, consuming 75.2 liters of fuel.","Đội nghiên cứu đã lái xe tổng cộng 980,5 km trong tuần kết thúc vào ngày 4 tháng 8 năm 2023, tiêu thụ 75,2 lít nhiên liệu.",hallu_numbers
"The contract modification, signed at 11:59 PM, increased the total project value to $15,000,000.00 while reducing the timeline by 18.5%.","Việc sửa đổi hợp đồng, được ký lúc 11:59 đêm, đã tăng tổng giá trị dự án lên 15.000.000,00 đô la đồng thời rút ngắn thời gian thực hiện 18,5%.",hallu_numbers
"Hourly wages rose by 5.5% effective January 1, 2024, pushing the starting rate for entry-level positions to $17.50.","Mức lương hàng giờ đã tăng 5,5% có hiệu lực từ ngày 1 tháng 1 năm 2024, đẩy mức lương khởi điểm cho các vị trí cấp nhập môn lên 17,50 đô la.",hallu_numbers
Data retention improved by 99.9% following the server migration completed at 01:00 AM on Monday.,"Khả năng lưu giữ dữ liệu đã được cải thiện 99,9% sau quá trình di chuyển máy chủ hoàn tất lúc 01:00 sáng thứ Hai.",hallu_numbers
"We forecast that 5.75 million units, priced individually at $12.99, will be sold before the holiday period begins in mid-November.","Chúng tôi dự báo rằng 5,75 triệu đơn vị, được định giá riêng lẻ 12,99 đô la, sẽ được bán trước khi kỳ nghỉ lễ bắt đầu vào giữa tháng 11.",hallu_numbers
"The average weight of the processed material was 1.25 kg, and quality control rejected 2.3% of the batch measured on March 25, 2023.","Trọng lượng trung bình của vật liệu được xử lý là 1,25 kg, và kiểm soát chất lượng đã từ chối 2,3% lô hàng được đo vào ngày 25 tháng 3 năm 2023.",hallu_numbers
"Insurance claims reached $3,200.50 by the end of June 2023, largely due to damages caused by the storm, which increased repair costs by 12.5%.","Các yêu cầu bồi thường bảo hiểm đạt 3.200,50 đô la vào cuối tháng 6 năm 2023, phần lớn là do thiệt hại gây ra bởi cơn bão, làm tăng chi phí sửa chữa 12,5%.",hallu_numbers
"Inventory turnover improved significantly to 15.0 times per year, reducing holding costs by $500,000.00 between Q2 and Q3.","Vòng quay hàng tồn kho đã cải thiện đáng kể lên 15,0 lần mỗi năm, giảm chi phí lưu kho 500.000,00 đô la giữa Quý 2 và Quý 3.",hallu_numbers
"The drilling team reached a depth of 3.5 km at 23:45 PM last night, achieving 90% of the target depth for the current phase.","Đội khoan đã đạt độ sâu 3,5 km lúc 23:45 đêm qua, đạt 90% độ sâu mục tiêu cho giai đoạn hiện tại.",hallu_numbers
"Cash reserves, as audited on April 1, 2024, amounted to $1,050,450.75, which is sufficient to cover 180.5 days of operational expenses.","Dự trữ tiền mặt, theo kiểm toán vào ngày 1 tháng 4 năm 2024, lên tới 1.050.450,75 đô la, đủ để chi trả cho 180,5 ngày chi phí vận hành.",hallu_numbers
"By December 31, 2023, the closing stock price had dropped by 0.75% to $155.88, reflecting a $1.25 decline since the 9:00 AM opening bell.","Tính đến ngày 31 tháng 12 năm 2023, giá cổ phiếu đóng cửa đã giảm 0,75% xuống còn 155,88 đô la, phản ánh mức giảm 1,25 đô la kể từ khi mở cửa lúc 9:00 sáng.",hallu_numbers
"The 5,000.5 kg shipment departed at 10:30 AM and covered 750 km in the first eight hours of transit.","Lô hàng nặng 5.000,5 kg đã khởi hành lúc 10:30 sáng và đi được 750 km trong tám giờ đầu tiên vận chuyển.",hallu_numbers
"Investment in renewable energy increased by 12.5% in the late 1990s, eventually reaching $3.5 billion globally by 2000.","Đầu tư vào năng lượng tái tạo đã tăng 12,5% vào cuối những năm 1990, cuối cùng đạt 3,5 tỷ đô la trên toàn cầu vào năm 2000.",hallu_numbers
"An audit on July 1 revealed a discrepancy of $1,200.50, which represented exactly 0.05% of the total monthly payroll processed at 4:30 PM.","Một cuộc kiểm toán vào ngày 1 tháng 7 đã phát hiện ra khoản chênh lệch 1.200,50 đô la, chiếm chính xác 0,05% tổng lương hàng tháng được xử lý lúc 4:30 chiều.",hallu_numbers
"The project, 85.5% complete by 9:00 AM on Monday, requires 450 more man-hours at a contracted rate of $85.50 per hour.","Dự án, hoàn thành 85,5% tính đến 9:00 sáng thứ Hai, yêu cầu thêm 450 giờ công với mức giá hợp đồng là 85,50 đô la mỗi giờ.",hallu_numbers
"Gold prices hit $1,988.90 per ounce on May 15, 2024, marking a 1.25% increase since the beginning of the year.","Giá vàng đạt 1.988,90 đô la mỗi ounce vào ngày 15 tháng 5 năm 2024, đánh dấu mức tăng 1,25% kể từ đầu năm.",hallu_numbers
"Warehouse stock contains 55,000 liters of finished product valued at $4.2 million, which is 60.5% of the total storage capacity.","Kho hàng chứa 55.000 lít sản phẩm hoàn chỉnh trị giá 4,2 triệu đô la, chiếm 60,5% tổng công suất lưu trữ.",hallu_numbers
The 1.8 Terabyte data migration started promptly at 2:00 PM and was 99.55% complete by 4:15 PM the same day.,"Quá trình di chuyển dữ liệu 1,8 Terabyte bắt đầu đúng lúc 2:00 chiều và đã hoàn thành 99,55% vào 4:15 chiều cùng ngày.",hallu_numbers
"The patient weighing 78.5 kg received a dosage reduction of 50%, administered intravenously over exactly 30 minutes.","Bệnh nhân nặng 78,5 kg đã được giảm 50% liều lượng, được tiêm tĩnh mạch trong chính xác 30 phút.",hallu_numbers
"At 11:45 AM, the USD/EUR exchange rate showed a 0.15% daily drop, placing the dollar 2.5% weaker than its closing position on January 1.","Lúc 11:45 sáng, tỷ giá hối đoái USD/EUR cho thấy mức giảm 0,15% trong ngày, khiến đồng đô la yếu hơn 2,5% so với vị thế đóng cửa của nó vào ngày 1 tháng 1.",hallu_numbers
"The cost to manufacture one unit is $12.99, consuming 1.5 kg of specialty material and occupying 0.75 cubic meters of warehouse space.","Chi phí sản xuất một đơn vị là 12,99 đô la, tiêu thụ 1,5 kg vật liệu chuyên dụng và chiếm 0,75 mét khối không gian kho bãi.",hallu_numbers
"The annual budget, finalized on October 1, allocated $7.25 billion to infrastructure, reflecting a 5.8% increase from the prior fiscal year.","Ngân sách hàng năm, được chốt vào ngày 1 tháng 10, đã phân bổ 7,25 tỷ đô la cho cơ sở hạ tầng, phản ánh mức tăng 5,8% so với năm tài chính trước.",hallu_numbers
"Utility costs increased by 15.1% during January 2024, resulting in an average monthly household expenditure of $350.45.","Chi phí tiện ích tăng 15,1% trong tháng 1 năm 2024, dẫn đến chi tiêu hộ gia đình trung bình hàng tháng là 350,45 đô la.",hallu_numbers
"The marathon runner covered 42.195 km in 129 minutes and 50 seconds during the race held on April 20, 2024.","Vận động viên marathon đã đi được 42,195 km trong 129 phút và 50 giây trong cuộc đua được tổ chức vào ngày 20 tháng 4 năm 2024.",hallu_numbers
"Customers purchasing products between 09/01/2024 and 09/30/2024 received a 10.5% rebate, capped at $500.25 per transaction.","Khách hàng mua sản phẩm trong khoảng thời gian từ 01/09/2024 đến 30/09/2024 đã nhận được khoản hoàn lại 10,5%, tối đa là 500,25 đô la cho mỗi giao dịch.",hallu_numbers
"The new engine reduced fuel consumption by 25.5%, achieving 5.5 liters per 100 km at an average test speed recorded at 3:15 PM.","Động cơ mới đã giảm mức tiêu thụ nhiên liệu 25,5%, đạt 5,5 lít cho mỗi 100 km với tốc độ thử nghiệm trung bình được ghi nhận lúc 3:15 chiều.",hallu_numbers
"Federal tax revenue for 2023 was $4.44 trillion, of which 55.75% came from individual income taxes.","Tổng thu thuế liên bang cho năm 2023 là 4,44 nghìn tỷ đô la, trong đó 55,75% đến từ thuế thu nhập cá nhân.",hallu_numbers
"Server uptime averaged 99.98% over the last 30 days, minimizing downtime costs estimated at $1,500.75 per hour.","Thời gian hoạt động của máy chủ đạt trung bình 99,98% trong 30 ngày qua, giảm thiểu chi phí ngừng hoạt động ước tính là 1.500,75 đô la mỗi giờ.",hallu_numbers
"Total insurance claims processed on Friday, 10/25, exceeded $50,000.80, representing one-third of the total claims volume for the 8:00 AM shift.","Tổng số yêu cầu bồi thường bảo hiểm được xử lý vào Thứ Sáu, ngày 25/10, vượt quá 50.000,80 đô la, chiếm một phần ba tổng khối lượng yêu cầu cho ca làm việc lúc 8:00 sáng.",hallu_numbers
"The corn yield for the 2025 season is forecasted to be 3.8 million metric tons, an improvement of 4.95% over the previous year's yield.","Sản lượng ngô cho mùa vụ năm 2025 được dự báo là 3,8 triệu tấn, cải thiện 4,95% so với sản lượng năm trước.",hallu_numbers
"Q3 net profit surged by 15.75% to $1.25 billion, based on finalized data recorded by September 30, 2023.","Lợi nhuận ròng Quý 3 tăng mạnh 15,75% lên 1,25 tỷ đô la, dựa trên dữ liệu đã hoàn tất được ghi nhận tính đến ngày 30 tháng 9 năm 2023.",hallu_numbers
"The cargo shipment weighing 35.8 metric tons traveled 1,500 km, departing precisely at 08:30 UTC on November 15.","Lô hàng hóa nặng 35,8 tấn di chuyển 1.500 km, khởi hành chính xác lúc 08:30 UTC ngày 15 tháng 11.",hallu_numbers
"Server downtime on Monday, February 5th, cost the company $1,200.50, representing a 0.05% loss in daily operational capacity.","Thời gian ngừng hoạt động của máy chủ vào Thứ Hai, ngày 5 tháng 2, đã tiêu tốn của công ty 1.200,50 đô la, chiếm 0,05% tổn thất năng suất hoạt động hàng ngày.",hallu_numbers
"By the late 1990s, the company’s valuation had reached $3.5 billion, reflecting a compounded 450% growth rate since its IPO in 1995.","Đến cuối thập niên 1990, định giá của công ty đã đạt 3,5 tỷ đô la, phản ánh tốc độ tăng trưởng gộp 450% kể từ đợt IPO vào năm 1995.",hallu_numbers
